"Time, days","Time, hr","Normalized Concentration, ppb","Normalized Concentration, mg/L"
0,0,0,0
0.046927374,1.126256983,0,0
0.100558659,2.413407821,0,0
0.147486034,3.539664804,0,0
0.207350293,4.976407036,35.12396694,0.035123967
0.246539545,5.916949074,112.2589532,0.112258953
0.298693384,7.168641212,222.4517906,0.222451791
0.350477861,8.411468674,360.1928375,0.360192837
0.383406436,9.201754467,404.2699725,0.404269972
0.44327993,10.63871832,438.7052342,0.438705234
0.476919525,11.44606861,429.7520661,0.429752066
0.558215984,13.39718362,366.3911846,0.366391185
0.639503209,15.34807701,303.7190083,0.303719008
0.727540514,17.46097234,237.6033058,0.237603306
0.808393739,19.40144974,207.3002755,0.207300275
0.895978577,21.50348585,174.9311295,0.174931129
0.949785309,22.79484741,161.84573,0.16184573
0.996832725,23.92398541,152.892562,0.152892562
1.084269819,26.02247565,131.5426997,0.1315427
1.164901427,27.95763424,117.768595,0.117768595
1.252209243,30.05302184,106.0606061,0.106060606
1.332785447,31.98685073,96.41873278,0.096418733
1.373064315,32.95354356,92.28650138,0.092286501
1.466854425,35.20450621,97.10743802,0.097107438
1.520651923,36.49564615,84.7107438,0.084710744
1.688351263,40.52043031,77.13498623,0.077134986
1.896357173,45.51257214,63.36088154,0.063360882
1.970174062,47.28417748,57.85123967,0.05785124
2.037259338,48.89422411,54.4077135,0.054407713
2.124456346,50.98695231,50.96418733,0.050964187
2.211561014,53.07746433,54.4077135,0.054407713
2.292054111,55.00929867,50.96418733,0.050964187
2.372547209,56.94113302,47.52066116,0.047520661
2.466411192,59.1938686,46.83195592,0.046831956
2.56026594,61.44638257,46.83195592,0.046831956
2.727900642,65.4696154,44.07713499,0.044077135
2.942518122,70.62043492,37.19008264,0.037190083
3.043196823,73.03672376,28.2369146,0.028236915
3.123643751,74.96745002,28.2369146,0.028236915
3.217498499,77.21996399,28.2369146,0.028236915
3.297945427,79.15069024,28.2369146,0.028236915
3.378392354,81.0814165,28.2369146,0.028236915
3.465543192,83.17303661,28.2369146,0.028236915
3.559397941,85.42555058,28.2369146,0.028236915
3.727023408,89.4485618,26.1707989,0.026170799
4.022004709,96.52811302,25.48209366,0.025482094
4.122563369,98.94152085,25.48209366,0.025482094
4.209723441,101.0333626,24.79338843,0.024793388
4.29019807,102.9647537,22.72727273,0.022727273
4.457805069,106.9873217,22.03856749,0.022038567
4.558372963,109.4009511,21.34986226,0.021349862
4.732683873,113.5844129,20.66115702,0.020661157
4.973987719,119.3757052,23.41597796,0.023415978
5.054434646,121.3064315,23.41597796,0.023415978
5.134900042,123.237601,22.03856749,0.022038567
5.208643058,125.0074334,22.03856749,0.022038567
5.295784662,127.0988319,22.72727273,0.022727273
5.369610785,128.8706588,16.52892562,0.016528926
